Date,T_i
Jul-77,-1.1
Aug-77,-0.8
Sep-77,-0.8
Oct-77,-1
Nov-77,-1.3
Dec-77,-1.1
Jan-78,-0.3
Feb-78,-2.7
Mar-78,-0.2
Apr-78,-0.3
May-78,1.4
Jun-78,0.7
Jul-78,0.6
Aug-78,0.4
Sep-78,0.1
Oct-78,-0.4
Nov-78,0
Dec-78,-0.1
Jan-79,-0.4
Feb-79,1
Mar-79,0.1
Apr-79,-0.1
May-79,0.5
Jun-79,0.6
Jul-79,1.3
Aug-79,-0.2
Sep-79,0.1
Oct-79,-0.1
Nov-79,-0.4
Dec-79,-0.7
Jan-80,0.4
Feb-80,0.3
Mar-80,-0.4
Apr-80,-0.6
May-80,0
Jun-80,0
Jul-80,0
Aug-80,0.4
Sep-80,-0.5
Oct-80,0
Nov-80,-0.3
Dec-80,-0.1
Jan-81,0.4
Feb-81,-0.2
Mar-81,-1.3
Apr-81,-0.1
May-81,0.8
Jun-81,1.2
Jul-81,0.8
Aug-81,0.7
Sep-81,0.3
Oct-81,-0.4
Nov-81,0.2
Dec-81,0.5
Jan-82,1.2
Feb-82,0.3
Mar-82,0.6
Apr-82,0.1
May-82,-0.3
Jun-82,-1
Jul-82,-1.5
Aug-82,-1.7
Sep-82,-1.7
Oct-82,-1.7
Nov-82,-2.6
Dec-82,-2.2
Jan-83,-3.5
Feb-83,-3.6
Mar-83,-2.4
Apr-83,-0.9
May-83,0.6
Jun-83,0
Jul-83,-0.6
Aug-83,0.1
Sep-83,0.9
Oct-83,0.4
Nov-83,-0.1
Dec-83,0
Jan-84,0.2
Feb-84,0.9
Mar-84,-0.2
Apr-84,0.3
May-84,0.2
Jun-84,-0.3
Jul-84,0.2
Aug-84,0.4
Sep-84,0.1
Oct-84,-0.3
Nov-84,0.3
Dec-84,-0.1
Jan-85,-0.3
Feb-85,1.2
Mar-85,0.8
Apr-85,1.2
May-85,0.4
Jun-85,-0.4
Jul-85,-0.1
Aug-85,1
Sep-85,0
Oct-85,-0.4
Nov-85,-0.2
Dec-85,0.2
Jan-86,1
Feb-86,-1
Mar-86,0.5
Apr-86,0.3
May-86,-0.2
Jun-86,1
Jul-86,0.3
Aug-86,-0.4
Sep-86,-0.5
Oct-86,0.6
Nov-86,-1.2
Dec-86,-1.4
Jan-87,-0.7
Feb-87,-1.2
Mar-87,-1.3
Apr-87,-1.4
May-87,-1.3
Jun-87,-1.1
Jul-87,-1.4
Aug-87,-0.9
Sep-87,-1
Oct-87,-0.4
Nov-87,0
Dec-87,-0.5
Jan-88,-0.1
Feb-88,-0.4
Mar-88,0.6
Apr-88,0.1
May-88,0.9
Jun-88,0.1
Jul-88,1
Aug-88,1.5
Sep-88,1.8
Oct-88,1.4
Nov-88,1.7
Dec-88,1.2
Jan-89,1.5
Feb-89,1.2
Mar-89,1.1
Apr-89,1.6
May-89,1.2
Jun-89,0.7
Jul-89,0.9
Aug-89,-0.3
Sep-89,0.5
Oct-89,0.8
Nov-89,-0.2
Dec-89,-0.5
Jan-90,-0.1
Feb-90,-1.8
Mar-90,-0.4
Apr-90,0.2
May-90,1.2
Jun-90,0.3
Jul-90,0.5
Aug-90,-0.2
Sep-90,-0.7
Oct-90,0.3
Nov-90,-0.5
Dec-90,-0.2
Jan-91,0.6
Feb-91,0.3
Mar-91,-0.7
Apr-91,-0.6
May-91,-1
Jun-91,-0.1
Jul-91,0
Aug-91,-0.4
Sep-91,-1.5
Oct-91,-1
Nov-91,-0.7
Dec-91,-1.8
Jan-92,-2.9
Feb-92,-0.9
Mar-92,-2
Apr-92,-1
May-92,0.3
Jun-92,-0.6
Jul-92,-0.6
Aug-92,0.4
Sep-92,0.1
Oct-92,-1.4
Nov-92,-0.7
Dec-92,-0.6
Jan-93,-0.9
Feb-93,-0.7
Mar-93,-0.5
Apr-93,-1.2
May-93,-0.3
Jun-93,-0.8
Jul-93,-0.8
Aug-93,-0.9
Sep-93,-0.7
Oct-93,-1.1
Nov-93,-0.1
Dec-93,0.2
Jan-94,-0.1
Feb-94,0.3
Mar-94,-0.7
Apr-94,-1.3
May-94,-0.7
Jun-94,-0.4
Jul-94,-1.3
Aug-94,-1.2
Sep-94,-1.6
Oct-94,-1.1
Nov-94,-0.6
Dec-94,-1.2
Jan-95,-0.4
Feb-95,-0.1
Mar-95,0.8
Apr-95,-0.7
May-95,-0.4
Jun-95,0.1
Jul-95,0.4
Aug-95,0.3
Sep-95,0.3
Oct-95,0
Nov-95,0
Dec-95,-0.5
Jan-96,1
Feb-96,0.3
Mar-96,1.1
Apr-96,0.8
May-96,0.3
Jun-96,1.2
Jul-96,0.7
Aug-96,0.7
Sep-96,0.6
Oct-96,0.6
Nov-96,-0.1
Dec-96,0.9
Jan-97,0.5
Feb-97,1.7
Mar-97,-0.4
Apr-97,-0.6
May-97,-1.3
Jun-97,-1.4
Jul-97,-0.8
Aug-97,-1.4
Sep-97,-1.4
Oct-97,-1.5
Nov-97,-1.2
Dec-97,-1
Jan-98,-2.7
Feb-98,-2
Mar-98,-2.4
Apr-98,-1.4
May-98,0.3
Jun-98,1
Jul-98,1.2
Aug-98,1.2
Sep-98,1
Oct-98,1.1
Nov-98,1
Dec-98,1.4
Jan-99,1.8
Feb-99,1
Mar-99,1.3
Apr-99,1.4
May-99,0.2
Jun-99,0.3
Jul-99,0.5
Aug-99,0.4
Sep-99,-0.1
Oct-99,1
Nov-99,1
